displacement,kilowatts,mileage,price,year,transmission_encoded,type_encoded
1.6,51,45455,1200,1989,0,0
1.6,81,45628,32900,2016,0,2
2.0,140,46000,71900,2018,2,6
2.0,140,46000,68900,2018,2,6
4.0,373,46000,195000,2022,2,6
3.0,170,46157,87500,2019,2,3
3.0,250,46500,130000,2019,2,6
1.9,90,47000,3700,1998,0,3
3.0,240,47000,154000,2019,2,6
3.0,250,47000,126000,2019,2,6
3.0,210,47000,99990,2019,2,3
1.6,85,47200,36500,2018,0,2
1.6,86,47500,39990,2019,0,2
2.0,140,48000,68900,2020,2,3
1.6,85,48239,37980,2019,0,2
2.0,140,48419,73000,2019,2,6
3.0,250,49000,139999,2019,2,6
2.0,140,49927,79000,2020,2,6
3.0,210,50000,138000,2018,2,6
2.0,140,50000,79000,2020,2,5
2.0,150,50000,88000,2020,2,3
3.0,210,50000,150000,2022,2,6
1.6,85,50210,36000,2019,0,2
3.0,210,50428,89000,2019,2,3
3.0,210,51000,112000,2018,2,3
3.0,250,51000,145000,2021,2,6
1.5,112,51000,49900,2021,2,2
2.0,150,51323,86500,2019,2,3
