displacement,kilowatts,mileage,price,year,transmission_encoded,type_encoded
2.0,110,334000,18950,2013,0,2
2.0,125,240000,18500,2009,0,2
1.6,81,210000,19000,2016,0,2
1.6,77,278867,15800,2014,0,2
1.4,66,216521,15500,2015,0,0
2.0,125,291000,14000,2011,2,4
1.6,77,243000,17900,2014,0,2
1.6,66,220100,15650,2012,0,1
1.6,81,250000,23000,2015,2,2
1.6,85,170000,24900,2018,0,2
1.6,81,230000,25000,2016,2,2
1.6,81,155000,23000,2017,0,2
1.6,77,172000,23900,2013,2,2
2.0,125,240000,18800,2011,2,2
1.6,81,292156,20800,2016,0,2
1.6,81,200000,22000,2017,0,2
1.4,66,89000,21500,2018,0,2
2.0,110,180000,23500,2015,0,2
2.0,101,250386,19999,2012,0,2
2.0,110,196500,35500,2016,2,2
1.0,81,1,46000,2023,0,5
2.0,145,1,98000,2023,2,5
2.0,110,1,54794,2023,0,2
2.0,85,5,50150,2023,0,2
2.0,140,107500,77000,2020,2,2
2.0,110,165000,46900,2018,2,5
2.0,110,141000,33300,2018,0,2
2.0,110,168000,33000,2018,0,2
2.0,110,220000,31000,2017,2,2
2.0,110,1,32000,2018,2,2
2.0,110,141080,53900,2018,2,5
1.6,85,202000,34500,2018,0,5
2.0,147,89000,63900,2021,2,4
1.6,84,186000,33800,2019,2,5
1.6,81,52000,35500,2019,2,2
2.0,110,140000,39500,2017,0,2
2.0,135,215000,29999,2016,2,2
1.6,85,66000,35000,2019,0,2
2.0,110,160000,45000,2019,2,3
1.6,85,153998,32900,2018,2,2
1.6,110,175000,30000,2016,0,2
2.0,147,1,90900,2023,2,2
2.0,110,77050,46990,2017,2,5
1.0,80,1,34000,2023,0,0
