displacement,kilowatts,mileage,price,year,rimSize
2.0,140.0,294000.0,37900,2015.0,17.0
2.0,125.0,290000.0,30900,2012.0,17.0
3.0,250.0,250000.0,43900,2010.0,19.0
2.0,130.0,235000.0,40500,2014.0,19.0
3.0,176.0,196000.0,28500,2010.0,17.0
3.0,150.0,237548.0,36900,2013.0,19.0
3.0,150.0,264000.0,35500,2013.0,19.0
2.0,140.0,220000.0,52500,2016.0,18.0
2.0,140.0,186000.0,44000,2016.0,18.0
2.0,140.0,205111.0,46000,2016.0,19.0
2.0,110.0,161000.0,37900,2015.0,18.0
3.0,160.0,238800.0,43900,2015.0,18.0
3.0,180.0,345000.0,35400,2012.0,21.0
2.0,140.0,30750.0,69990,2019.0,18.0
3.0,210.0,142000.0,71900,2018.0,17.0
2.0,120.0,175000.0,47500,2016.0,16.0
3.0,230.0,195629.0,57990,2014.0,20.0
3.0,160.0,152239.0,99990,2017.0,19.0
3.0,155.0,159070.0,95990,2018.0,18.0
3.0,160.0,133699.0,95990,2017.0,20.0
2.0,120.0,121255.0,78990,2017.0,18.0
2.0,140.0,147087.0,82990,2017.0,19.0
2.0,110.0,142409.0,72990,2019.0,18.0
2.0,110.0,111251.0,55990,2017.0,17.0
4.0,375.0,11000.0,239900,2022.0,22.0
2.5,294.0,0.0,171710,2023.0,21.0
2.5,294.0,1234.0,174990,2023.0,21.0
3.0,210.0,57943.0,128990,2019.0,20.0
4.0,441.0,87000.0,289000,2020.0,16.0
3.0,210.0,28200.0,189990,2022.0,19.0
3.0,173.0,85000.0,114000,2019.0,16.0
4.0,320.0,120000.0,125000,2018.0,21.0
4.0,320.0,128290.0,111700,2017.0,20.0
3.0,210.0,62181.0,120000,2020.0,16.0
3.0,210.0,54000.0,158000,2021.0,21.0
3.0,251.0,10000.0,159900,2022.0,21.0
2.0,150.0,0.0,147720,2022.0,20.0
2.0,150.0,0.0,144905,2022.0,20.0
3.0,170.0,0.0,149962,2023.0,19.0
3.0,257.0,114000.0,119900,2020.0,20.0
3.0,210.0,0.0,156872,2022.0,19.0
2.0,228.0,0.0,109900,2023.0,19.0
2.0,228.0,0.0,109900,2022.0,19.0
4.0,441.0,0.0,294800,2023.0,22.0
3.0,210.0,73432.0,150000,2019.0,22.0
3.0,210.0,115000.0,149000,2020.0,16.0
3.0,210.0,110000.0,149900,2018.0,16.0
3.0,256.0,109000.0,123900,2019.0,20.0
4.0,382.0,151000.0,105000,2017.0,22.0
4.0,441.0,35000.0,270000,2021.0,22.0
3.0,210.0,66000.0,115000,2020.0,16.0
2.9,340.0,70000.0,134500,2020.0,16.0
4.0,350.0,42000.0,190000,2021.0,21.0
3.0,210.0,75000.0,135000,2019.0,22.0
3.0,210.0,20000.0,164700,2021.0,20.0
3.0,210.0,1.0,186721,2023.0,21.0
3.0,210.0,1.0,187469,2023.0,21.0
3.0,210.0,106000.0,149000,2019.0,20.0
2.0,147.0,1700.0,117000,2023.0,19.0
4.0,320.0,235.0,100000,2016.0,21.0
3.0,210.0,116000.0,137500,2019.0,21.0
1.4,55.0,287600.0,4800,2001.0,15.0
1.8,66.0,146000.0,1500,1985.0,13.0
