displacement,kilowatts,mileage,price,year,rimSize
2.2,103.0,410000.0,7200,2003.0,17.0
2.2,100.0,590000.0,12200,2009.0,16.0
1.8,120.0,300000.0,13000,2005.0,16.0
2.0,100.0,250000.0,12900,2009.0,16.0
2.2,100.0,320000.0,13700,2008.0,16.0
3.2,165.0,274000.0,14000,2008.0,17.0
3.0,140.0,339400.0,12500,2007.0,17.0
1.8,80.0,221000.0,17900,2012.0,16.0
2.2,100.0,319000.0,18200,2009.0,16.0
2.2,80.0,301000.0,14600,2006.0,16.0
1.8,80.0,240000.0,16000,2012.0,16.0
3.0,140.0,300000.0,19900,2006.0,19.0
2.2,120.0,273000.0,19900,2009.0,16.0
2.2,100.0,277000.0,18350,2010.0,18.0
3.2,165.0,336000.0,15500,2007.0,17.0
3.5,200.0,249000.0,19900,2005.0,18.0
2.2,100.0,319292.0,15200,2007.0,16.0
2.2,88.0,268000.0,19000,2011.0,16.0
1.8,80.0,290.0,17600,2013.0,16.0
2.2,85.0,250000.0,17500,2008.0,16.0
3.5,272.0,240000.0,18500,2006.0,16.0
2.2,100.0,349000.0,18590,2010.0,16.0
2.2,100.0,200950.0,16800,2011.0,16.0
1.8,80.0,182000.0,15999,2012.0,15.0
3.0,195.0,420000.0,16000,2011.0,19.0
2.5,150.0,280000.0,19100,2009.0,18.0
1.8,100.0,270000.0,18500,2013.0,16.0
2.0,100.0,380000.0,16990,2011.0,16.0
2.2,125.0,190000.0,15800,2010.0,16.0
3.0,140.0,355722.0,18200,2007.0,17.0
2.2,150.0,340000.0,20100,2011.0,16.0
2.2,110.0,465000.0,16999,2007.0,16.0
2.2,125.0,400000.0,14400,2006.0,16.0
2.2,100.0,217000.0,16900,2010.0,16.0
3.0,165.0,265000.0,20000,2006.0,18.0
1.8,80.0,305000.0,21700,2015.0,16.0
2.2,115.0,380000.0,22700,2010.0,16.0
2.2,124.0,270000.0,22000,2009.0,16.0
2.2,100.0,269800.0,22000,2013.0,16.0
2.2,88.0,217000.0,19800,2012.0,17.0
2.2,84.0,299500.0,19300,2009.0,16.0
3.0,165.0,355000.0,22000,2006.0,20.0
2.2,120.0,280000.0,20900,2011.0,16.0
2.2,125.0,351000.0,21900,2010.0,19.0
3.2,173.0,230000.0,15000,2008.0,18.0
2.2,125.0,260000.0,25000,2011.0,17.0
3.0,140.0,264000.0,22000,2007.0,16.0
1.8,80.0,315000.0,18999,2013.0,16.0
1.8,90.0,250000.0,23500,2013.0,18.0
2.2,100.0,273000.0,20500,2012.0,16.0
3.0,165.0,220560.0,24000,2010.0,16.0
2.2,125.0,254000.0,21000,2013.0,16.0
2.2,70.0,280000.0,23900,2012.0,18.0
2.2,126.0,290000.0,22500,2012.0,17.0
2.2,150.0,248000.0,22500,2012.0,17.0
2.0,100.0,321000.0,17900,2013.0,16.0
3.2,165.0,250000.0,21000,2008.0,18.0
1.8,80.0,260000.0,21400,2013.0,16.0
3.5,200.0,200000.0,17900,2005.0,19.0
2.2,100.0,253592.0,24500,2011.0,16.0
1.6,100.0,148000.0,26900,2016.0,17.0
1.5,80.0,190000.0,26000,2015.0,16.0
2.2,125.0,200000.0,23000,2012.0,19.0
3.0,155.0,282776.0,29990,2008.0,18.0
2.5,150.0,163000.0,28800,2010.0,17.0
2.2,150.0,310000.0,27500,2012.0,16.0
3.0,170.0,290123.0,25500,2010.0,16.0
1.6,100.0,243000.0,27200,2015.0,16.0
2.0,100.0,320000.0,28900,2013.0,16.0
2.2,120.0,260000.0,29500,2010.0,16.0
3.0,170.0,242224.0,27500,2011.0,19.0
3.0,170.0,296500.0,28000,2013.0,17.0
3.0,164.0,290000.0,26500,2008.0,19.0
3.0,170.0,369123.0,26000,2009.0,18.0
3.0,165.0,315000.0,24000,2008.0,16.0
1.8,80.0,120000.0,23800,2014.0,16.0
2.2,100.0,382000.0,28500,2014.0,16.0
3.0,132.0,1.0,29500,1997.0,16.0
2.2,150.0,248000.0,29500,2011.0,18.0
2.0,143.0,108946.0,69990,2018.0,17.0
2.2,100.0,139694.0,57990,2019.0,17.0
2.2,100.0,123170.0,64990,2019.0,19.0
2.0,143.0,124693.0,95990,2019.0,20.0
2.0,143.0,141074.0,92990,2020.0,20.0
2.0,143.0,178786.0,90990,2019.0,18.0
2.5,150.0,89911.0,84990,2017.0,19.0
2.2,150.0,109623.0,88990,2018.0,20.0
2.2,150.0,98875.0,97990,2017.0,19.0
2.2,150.0,143224.0,87990,2018.0,19.0
2.2,150.0,106602.0,99990,2018.0,20.0
3.0,190.0,81901.0,104990,2019.0,20.0
3.0,190.0,169576.0,72990,2018.0,20.0
2.2,100.0,311000.0,37999,2015.0,18.0
2.2,120.0,173692.0,60990,2015.0,18.0
2.0,180.0,34830.0,96900,2020.0,18.0
2.0,143.0,146520.0,73900,2019.0,17.0
2.2,100.0,134205.0,35980,2018.0,16.0
2.0,110.0,138086.0,45980,2019.0,16.0
3.5,200.0,148000.0,38500,2010.0,19.0
2.2,130.0,145597.0,37980,2018.0,16.0
2.2,100.0,74866.0,52980,2018.0,16.0
3.0,157.0,205000.0,35000,2011.0,16.0
2.2,120.0,159845.0,67990,2018.0,19.0
